"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"608",582980,972488,NA,NA,NA,NA,NA,NA,NA,NA
"609",277022,311787,1273876,NA,NA,NA,NA,NA,NA,NA
"610",324034,1155794,NA,NA,NA,NA,NA,NA,NA,NA
"611",147245,224723,400379,516494,1044684,1055422,1242513,1355607,1388470,NA
"612",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"613",615087,NA,NA,NA,NA,NA,NA,NA,NA,NA
"614",33165,330016,616625,875412,NA,NA,NA,NA,NA,NA
"615",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"616",852600,1086421,NA,NA,NA,NA,NA,NA,NA,NA
"617",538976,757719,NA,NA,NA,NA,NA,NA,NA,NA
"618",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"619",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"620",1033103,NA,NA,NA,NA,NA,NA,NA,NA,NA
"621",451346,NA,NA,NA,NA,NA,NA,NA,NA,NA
"622",1288050,1435534,NA,NA,NA,NA,NA,NA,NA,NA
"623",932890,1222185,1283037,1438205,1470779,NA,NA,NA,NA,NA
"624",166289,591661,606655,919561,980750,1473680,NA,NA,NA,NA
"625",910892,NA,NA,NA,NA,NA,NA,NA,NA,NA
"626",303382,622150,1196194,1249394,NA,NA,NA,NA,NA,NA
"627",950706,1159941,NA,NA,NA,NA,NA,NA,NA,NA
"628",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"629",615815,1335433,1361251,NA,NA,NA,NA,NA,NA,NA
"630",220417,1355009,1368564,NA,NA,NA,NA,NA,NA,NA
"631",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"632",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"633",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"634",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"635",77956,870678,NA,NA,NA,NA,NA,NA,NA,NA
"636",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"637",348564,NA,NA,NA,NA,NA,NA,NA,NA,NA
"638",894885,NA,NA,NA,NA,NA,NA,NA,NA,NA
